user_ID,Major/Field of Study,College Grade Level,Section,Question,Answer
3,Agronomy,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Intermediate
4,Agronomy,Junior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Intermediate
5,Environmental Science,Junior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Novice
6,Animal Science,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,N/A
7,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Novice
8,Animal Science,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Awareness
9,Agricultural Economics,Sophomore,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Awareness
10,Animal Science,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Novice
11,Animal Science,Junior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Novice
12,Animal Science,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Awareness
13,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Intermediate
14,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Intermediate
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Awareness
16,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5L: Distinguish cyclical and seasonal trends,Advanced
1,Agricultural Economics,Junior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
2,Agronomy,Sophomore,2: Knowledge Skills and Experience,Q5M: Use R software,Expert
3,Agronomy,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Intermediate
4,Agronomy,Junior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
5,Environmental Science,Junior,2: Knowledge Skills and Experience,Q5M: Use R software,Novice
6,Animal Science,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
7,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5M: Use R software,N/A
8,Animal Science,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
9,Agricultural Economics,Sophomore,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
10,Animal Science,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
11,Animal Science,Junior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
12,Animal Science,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
13,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5M: Use R software,Awareness
14,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Advanced
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Intermediate
16,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5M: Use R software,Novice
1,Agricultural Economics,Junior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Intermediate
2,Agronomy,Sophomore,2: Knowledge Skills and Experience,Q5N: Use Excel software,Novice
3,Agronomy,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Intermediate
4,Agronomy,Junior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Intermediate
5,Environmental Science,Junior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Intermediate
6,Animal Science,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Novice
7,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5N: Use Excel software,Novice
8,Animal Science,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Novice
9,Agricultural Economics,Sophomore,2: Knowledge Skills and Experience,Q5N: Use Excel software,Advanced
10,Animal Science,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Intermediate
11,Animal Science,Junior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Advanced
12,Animal Science,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Intermediate
13,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5N: Use Excel software,Advanced
14,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Expert
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Novice
16,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5N: Use Excel software,Expert
1,Agricultural Economics,Junior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
2,Agronomy,Sophomore,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Novice
3,Agronomy,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Intermediate
4,Agronomy,Junior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
5,Environmental Science,Junior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
6,Animal Science,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
7,Environmental Science,Sophomore,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
8,Animal Science,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
9,Agricultural Economics,Sophomore,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
10,Animal Science,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
11,Animal Science,Junior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Novice
12,Animal Science,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
13,Environmental Science,Sophomore,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Intermediate
14,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Advanced
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Awareness
16,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,"Q5O: Precision agriculture tools (e.g., sensors, drones)",Expert
1,Agricultural Economics,Junior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Awareness
2,Agronomy,Sophomore,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Intermediate
3,Agronomy,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Intermediate
4,Agronomy,Junior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Awareness
5,Environmental Science,Junior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Intermediate
6,Animal Science,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Intermediate
7,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Novice
8,Animal Science,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Awareness
9,Agricultural Economics,Sophomore,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Awareness
10,Animal Science,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Novice
11,Animal Science,Junior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Novice
12,Animal Science,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Awareness
13,Environmental Science,Sophomore,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Intermediate
14,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Advanced
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Awareness
16,Agricultural & Biological Engineering,Senior,2: Knowledge Skills and Experience,Q5P: Data collection in agriculture,Expert
